annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1117.2,14.390684931506849,10.752876712328767,1.2126027397260275,91.48189823874756,124,7.358476197818217,27.0,28.042735042735043,0.2619178082191781,4473,4473,1.0,C,378,8,35,1002,screen,28.0,4.0,v2.2.1,True
1149.4,12.475068493150685,7.714520547945206,1.5868493150684932,94.5288649706458,126,6.9641593276282245,27.0,30.918367346938776,0.2821917808219178,3787,3787,1.0,C,378,8,35,1003,screen,21.0,0.0,v2.2.1,True
1141.8,13.70958904109589,9.318904109589042,1.4635616438356165,92.98630136986301,125,7.376991338047932,26.799999999999955,31.054347826086957,0.26958904109589044,3801,3801,1.0,C,378,8,35,1003,screen,21.0,2.0,v2.2.1,True
1104.4,14.390684931506849,11.12109589041096,1.08986301369863,91.043542074364,123,7.2688970921532094,26.0,27.463636363636365,0.256986301369863,3682,3682,1.0,C,378,8,35,1003,screen,21.0,4.0,v2.2.1,True
1149.4,12.475068493150685,7.714520547945206,1.5868493150684932,94.5288649706458,126,6.9641593276282245,27.0,30.918367346938776,0.2821917808219178,4620,4620,1.0,C,378,8,35,1003,screen,28.0,0.0,v2.2.1,True
1141.8,13.52,9.12931506849315,1.4635616438356165,93.15557729941291,125,7.322142577813175,26.799999999999955,31.054347826086957,0.26958904109589044,4578,4578,1.0,C,378,8,35,1003,screen,28.0,2.0,v2.2.1,True
1109.4,14.215342465753425,10.82904109589041,1.1287671232876713,91.33904109589041,123,7.149498909373368,26.0,27.62727272727273,0.2547945205479452,4473,4473,1.0,C,378,8,35,1003,screen,28.0,4.0,v2.2.1,True
1164.8,10.151780821917809,5.724931506849315,1.4756164383561643,96.2059686888454,125,6.855532913704229,24.0,28.40366972477064,0.28986301369863016,3836,3836,1.0,C,378,8,35,1004,screen,21.0,0.0,v2.2.1,True
1145.4,10.482191780821918,7.524931506849315,0.9857534246575342,94.16144814090019,123,6.061439418573946,21.799999999999955,24.467391304347824,0.25315068493150683,3773,3773,1.0,C,378,8,35,1004,screen,21.0,2.0,v2.2.1,True
1114.8,14.602739726027398,11.29041095890411,1.104109589041096,90.90508806262231,124,7.737007583648555,27.0,28.77241379310345,0.25753424657534246,3605,3605,1.0,C,378,8,35,1004,screen,21.0,4.0,v2.2.1,True
1160.0,12.043835616438356,6.818082191780822,1.7419178082191782,95.46771037181996,126,7.569361036973395,27.0,30.891304347826086,0.28876712328767123,4634,4634,1.0,C,378,8,35,1004,screen,28.0,0.0,v2.2.1,True
1143.8,13.742465753424657,9.202191780821918,1.5134246575342465,93.13502935420743,125,7.450676957061092,27.0,29.75609756097561,0.27835616438356164,4585,4585,1.0,C,378,8,35,1004,screen,28.0,2.0,v2.2.1,True
1114.8,14.602739726027398,11.29041095890411,1.104109589041096,90.90508806262231,124,7.737007583648555,27.0,28.77241379310345,0.25753424657534246,4396,4396,1.0,C,378,8,35,1004,screen,28.0,4.0,v2.2.1,True
1160.8,10.797808219178082,6.413698630136986,1.4613698630136986,95.57827788649706,126,6.889812242530471,27.0,30.741935483870968,0.2876712328767123,3794,3794,1.0,C,378,8,35,1005,screen,21.0,0.0,v2.2.1,True
1139.6,14.946849315068492,9.665205479452055,1.7605479452054795,92.9422700587084,125,7.8378525265425765,28.0,32.06185567010309,0.28054794520547943,3710,3710,1.0,C,378,8,35,1005,screen,21.0,2.0,v2.2.1,True
1098.4,14.896986301369862,11.896986301369862,1.0,90.27054794520548,123,7.500973380719014,27.0,28.085271317829456,0.24767123287671233,3633,3633,1.0,C,378,8,35,1005,screen,21.0,4.0,v2.2.1,True
1160.8,10.574794520547945,6.25972602739726,1.4383561643835616,95.69520547945206,126,6.731783433470316,27.0,30.741935483870968,0.2827397260273973,4585,4585,1.0,C,378,8,35,1005,screen,28.0,0.0,v2.2.1,True
1128.4,12.88,9.044931506849315,1.2783561643835617,93.06555772994129,125,7.075203797201167,24.0,26.773333333333333,0.27835616438356164,4487,4487,1.0,C,378,8,35,1005,screen,28.0,2.0,v2.2.1,True
1110.2,14.383013698630137,11.355068493150686,1.0093150684931507,90.76272015655577,125,7.539852940211076,27.0,28.763358778625953,0.24602739726027398,4431,4431,1.0,C,378,8,35,1005,screen,28.0,4.0,v2.2.1,True
1160.0,12.677808219178083,7.652602739726027,1.675068493150685,94.66291585127202,128,7.682307340288859,27.0,32.31578947368421,0.27945205479452057,3787,3787,1.0,C,378,8,35,1006,screen,21.0,0.0,v2.2.1,True
1142.4,11.336986301369864,7.513424657534246,1.2745205479452055,94.42954990215264,126,6.593031667642431,24.0,27.72222222222222,0.27616438356164386,3759,3759,1.0,C,378,8,35,1006,screen,21.0,2.0,v2.2.1,True
1113.8,13.493698630136986,10.15013698630137,1.1145205479452054,91.93248532289628,126,7.185060704849474,26.0,29.93617021276596,0.24383561643835616,3640,3640,1.0,C,378,8,35,1006,screen,21.0,4.0,v2.2.1,True
