annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1089.2,4.345753424657534,4.288219178082191,0.0191780821917808,96.18835616438356,115,1.7965045234465062,7.0,7.322751322751323,0.0147945205479452,0,0,0.0,B,378,8,40,2011,final,,,v2.2,False
1228.4,7.814794520547945,4.504109589041096,1.1035616438356164,96.96379647749512,123,5.113696378480614,18.0,21.02380952380953,0.2564383561643835,4011,4011,1.0,C_h40,378,8,40,2011,final,21.0,0.0,v2.2,False
1215.6,5.607671232876712,4.263013698630137,0.4482191780821918,96.59393346379647,120,3.8272090143107342,12.0,13.838709677419354,0.1610958904109589,4060,4060,1.0,C_h45,378,8,45,2011,final,21.0,0.0,v2.2,False
1245.8,24.92876712328767,0.0,8.30958904109589,107.4192759295499,126,7.197204155560217,36.0,36.7563025210084,0.9983561643835616,0,0,0.0,A,426,9,40,2012,final,,,v2.2,False
1094.6,3.8657534246575342,3.7704109589041095,0.0317808219178082,96.6619373776908,115,2.1426779631202053,7.0,7.61574074074074,0.0252054794520547,0,0,0.0,B,378,8,40,2012,final,,,v2.2,False
1241.4,7.395616438356164,4.061917808219178,1.1112328767123287,97.36545988258317,123,5.389457551894903,18.0,21.55862068965517,0.2383561643835616,3969,3969,1.0,C_h40,378,8,40,2012,final,21.0,0.0,v2.2,False
1216.6,4.808767123287671,3.2405479452054795,0.5227397260273973,97.573385518591,120,3.549173653362927,12.0,14.884615384615383,0.1901369863013698,4074,4074,1.0,C_h45,378,8,45,2012,final,21.0,0.0,v2.2,False
1265.8,25.476164383561645,0.0,8.492054794520548,107.58219178082192,128,6.362462437015791,36.0,38.256410256410255,1.0,0,0,0.0,A,426,9,40,2013,final,,,v2.2,False
1099.6,3.9846575342465753,3.9172602739726026,0.0224657534246575,96.5225048923679,115,2.2455573111339464,8.0,9.380530973451329,0.0186301369863013,0,0,0.0,B,378,8,40,2013,final,,,v2.2,False
1210.0,8.26849315068493,3.968219178082192,1.4334246575342466,97.73679060665364,124,6.439088688150059,21.0,24.06206896551724,0.2838356164383561,3899,3899,1.0,C_h40,378,8,40,2013,final,21.0,0.0,v2.2,False
1212.0,5.467397260273972,3.8104109589041095,0.5523287671232877,97.09099804305283,121,3.9545325799618,12.0,14.85430463576159,0.1835616438356164,4074,4074,1.0,C_h45,378,8,45,2013,final,21.0,0.0,v2.2,False
1252.6,25.716164383561644,0.0,8.572054794520549,107.6536203522505,127,7.194012996880046,39.0,40.27659574468085,1.0,0,0,0.0,A,426,9,40,2014,final,,,v2.2,False
1087.2,4.261917808219178,4.252054794520548,0.0032876712328767,96.206457925636,113,1.865664374113763,7.0,7.279620853080568,0.0032876712328767,0,0,0.0,B,378,8,40,2014,final,,,v2.2,False
1242.2,5.375342465753425,2.646575342465753,0.9095890410958904,98.44911937377692,122,4.358011528173415,15.0,16.755555555555556,0.2838356164383561,3997,3997,1.0,C_h40,378,8,40,2014,final,21.0,0.0,v2.2,False
1225.2,4.72931506849315,2.847123287671233,0.6273972602739726,98.01810176125244,122,4.136399827483389,12.0,16.0,0.2164383561643835,4137,4137,1.0,C_h45,378,8,45,2014,final,21.0,0.0,v2.2,False
1247.8,22.76876712328767,0.0,7.58958904109589,106.77641878669274,127,6.361480320439543,33.0,34.26923076923077,0.9994520547945206,0,0,0.0,A,426,9,40,2015,final,,,v2.2,False
1079.6,4.996164383561644,4.808767123287671,0.0624657534246575,95.76223091976516,116,2.4401805043922185,9.0,9.37007874015748,0.0443835616438356,0,0,0.0,B,378,8,40,2015,final,,,v2.2,False
1238.2,6.448219178082192,3.2739726027397262,1.058082191780822,98.02152641878668,123,5.14969748261594,18.0,20.269565217391303,0.3002739726027397,3899,3899,1.0,C_h40,378,8,40,2015,final,21.0,0.0,v2.2,False
1216.6,4.916164383561644,3.0832876712328767,0.6109589041095891,97.79256360078278,120,3.904434974866816,12.0,15.0,0.2158904109589041,4074,4074,1.0,C_h45,378,8,45,2015,final,21.0,0.0,v2.2,False
1258.2,26.317808219178083,0.0,8.772602739726027,107.83268101761252,128,7.239771642743793,39.0,40.53982300884956,1.0,0,0,0.0,A,426,9,40,2016,final,,,v2.2,False
1079.6,4.72931506849315,4.712876712328767,0.0054794520547945,95.79696673189824,113,2.10318806197465,8.0,8.514450867052023,0.0054794520547945,0,0,0.0,B,378,8,40,2016,final,,,v2.2,False
1206.6,7.63013698630137,3.79013698630137,1.28,97.75880626223092,125,6.585276575809758,24.0,26.806451612903224,0.2778082191780822,3948,3948,1.0,C_h40,378,8,40,2016,final,21.0,0.0,v2.2,False
1212.8,4.835068493150685,3.0317808219178084,0.6010958904109589,97.82974559686888,121,3.899178642734855,12.0,14.941605839416058,0.2054794520547945,4214,4214,1.0,C_h45,378,8,45,2016,final,21.0,0.0,v2.2,False
1258.0,25.407123287671237,0.0,8.469041095890411,107.56164383561644,126,5.837647561776532,36.0,36.77064220183486,1.0,0,0,0.0,A,426,9,40,2017,final,,,v2.2,False
1103.4,3.7813698630136985,3.5676712328767124,0.0712328767123287,96.87818003913894,116,2.1137818667831514,7.0,7.463157894736842,0.0498630136986301,0,0,0.0,B,378,8,40,2017,final,,,v2.2,False
1219.8,8.496986301369864,4.438356164383562,1.352876712328767,97.24510763209392,124,6.591138780983529,24.0,27.34375,0.2657534246575342,3906,3906,1.0,C_h40,378,8,40,2017,final,21.0,0.0,v2.2,False
1222.8,4.732054794520548,3.2575342465753425,0.4915068493150685,97.5303326810176,121,3.535531951659671,11.0,14.098039215686274,0.1978082191780822,4158,4158,1.0,C_h45,378,8,45,2017,final,21.0,0.0,v2.2,False
1266.4,24.81041095890411,0.0,8.27013698630137,107.38405088062622,127,5.741908980948224,33.0,34.81132075471698,1.0,0,0,0.0,A,426,9,40,2018,final,,,v2.2,False
